config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(9+1)(9+1) 32000 1 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 2 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 3 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 4 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 5 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 6 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 7 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 8 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 9 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 10 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 11 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 12 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 13 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 14 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 15 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 16 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 17 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 18 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 19 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 20 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 21 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 22 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 23 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 24 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 25 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 26 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 27 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 28 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 29 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 30 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 31 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 32 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 33 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 34 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 35 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 36 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 37 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 38 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 39 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 40 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 41 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 42 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 43 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 44 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 45 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 46 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 47 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 48 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 49 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 50 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 51 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 52 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 53 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 54 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 55 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 56 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 57 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 58 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 59 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 60 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 61 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 62 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 63 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 64 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 65 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 66 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 67 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 68 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 69 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 70 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 71 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 72 1 0.0 nines sigma 0 10000 notadapt
(9+1)(9+1) 32000 73 1 0.0 nines sigma 0 10000 notadapt
