config total_drives failed_disks affected_racks dl_prob
(18+2)(18+2) 32000 1 1 0.0
(18+2)(18+2) 32000 2 1 0.0
(18+2)(18+2) 32000 2 2 0.0
(18+2)(18+2) 32000 3 1 0.0
(18+2)(18+2) 32000 3 2 0.0
(18+2)(18+2) 32000 3 3 0.0
(18+2)(18+2) 32000 4 1 0.0
(18+2)(18+2) 32000 4 2 0.0
(18+2)(18+2) 32000 4 3 0.0
(18+2)(18+2) 32000 4 4 0.0
(18+2)(18+2) 32000 5 1 0.0
(18+2)(18+2) 32000 5 2 0.0
(18+2)(18+2) 32000 5 3 0.0
(18+2)(18+2) 32000 5 4 0.0
(18+2)(18+2) 32000 5 5 0.0
(18+2)(18+2) 32000 6 1 0.0
(18+2)(18+2) 32000 6 2 0.0
(18+2)(18+2) 32000 6 3 0.0
(18+2)(18+2) 32000 6 4 0.0
(18+2)(18+2) 32000 6 5 0.0
(18+2)(18+2) 32000 6 6 0.0
(18+2)(18+2) 32000 7 1 0.0
(18+2)(18+2) 32000 7 2 0.0
(18+2)(18+2) 32000 7 3 0.0
(18+2)(18+2) 32000 7 4 0.0
(18+2)(18+2) 32000 7 5 0.0
(18+2)(18+2) 32000 7 6 0.0
(18+2)(18+2) 32000 7 7 0.0
(18+2)(18+2) 32000 8 1 0.0
(18+2)(18+2) 32000 8 2 0.0
(18+2)(18+2) 32000 8 3 0.0
(18+2)(18+2) 32000 8 4 0.0
(18+2)(18+2) 32000 8 5 0.0
(18+2)(18+2) 32000 8 6 0.0
(18+2)(18+2) 32000 8 7 0.0
(18+2)(18+2) 32000 8 8 0.0
(18+2)(18+2) 32000 9 1 0.0
(18+2)(18+2) 32000 9 2 0.0
(18+2)(18+2) 32000 9 3 1.1795691090554783e-09
(18+2)(18+2) 32000 9 4 0.0
(18+2)(18+2) 32000 9 5 0.0
(18+2)(18+2) 32000 9 6 0.0
(18+2)(18+2) 32000 9 7 0.0
(18+2)(18+2) 32000 9 8 0.0
(18+2)(18+2) 32000 9 9 0.0
(18+2)(18+2) 32000 10 1 0.0
(18+2)(18+2) 32000 10 2 0.0
(18+2)(18+2) 32000 10 3 1.0427244623301135e-08
(18+2)(18+2) 32000 10 4 1.0446086218252049e-09
(18+2)(18+2) 32000 10 5 0.0
(18+2)(18+2) 32000 10 6 0.0
(18+2)(18+2) 32000 10 7 0.0
(18+2)(18+2) 32000 10 8 0.0
(18+2)(18+2) 32000 10 9 0.0
(18+2)(18+2) 32000 10 10 0.0
(18+2)(18+2) 32000 11 1 0.0
(18+2)(18+2) 32000 11 2 0.0
(18+2)(18+2) 32000 11 3 5.119559243205174e-08
(18+2)(18+2) 32000 11 4 8.673656681779107e-09
(18+2)(18+2) 32000 11 5 7.933995682662953e-10
(18+2)(18+2) 32000 11 6 0.0
(18+2)(18+2) 32000 11 7 0.0
(18+2)(18+2) 32000 11 8 0.0
(18+2)(18+2) 32000 11 9 0.0
(18+2)(18+2) 32000 11 10 0.0
(18+2)(18+2) 32000 11 11 0.0
(18+2)(18+2) 32000 12 1 0.0
(18+2)(18+2) 32000 12 2 0.0
(18+2)(18+2) 32000 12 3 1.8397631196265252e-07
(18+2)(18+2) 32000 12 4 4.033906486622385e-08
(18+2)(18+2) 32000 12 5 6.344414882342164e-09
(18+2)(18+2) 32000 12 6 5.911692246840516e-10
(18+2)(18+2) 32000 12 7 0.0
(18+2)(18+2) 32000 12 8 0.0
(18+2)(18+2) 32000 12 9 0.0
(18+2)(18+2) 32000 12 10 0.0
(18+2)(18+2) 32000 12 11 0.0
(18+2)(18+2) 32000 12 12 0.0
(18+2)(18+2) 32000 13 1 0.0
(18+2)(18+2) 32000 13 2 0.0
(18+2)(18+2) 32000 13 3 5.394446145334797e-07
(18+2)(18+2) 32000 13 4 1.3835030243658508e-07
(18+2)(18+2) 32000 13 5 2.856579373045065e-08
(18+2)(18+2) 32000 13 6 4.6111459095499185e-09
(18+2)(18+2) 32000 13 7 4.447437973453816e-10
(18+2)(18+2) 32000 13 8 0.0
(18+2)(18+2) 32000 13 9 0.0
(18+2)(18+2) 32000 13 10 0.0
(18+2)(18+2) 32000 13 11 0.0
(18+2)(18+2) 32000 13 12 0.0
(18+2)(18+2) 32000 13 13 0.0
(18+2)(18+2) 32000 14 1 0.0
(18+2)(18+2) 32000 14 2 0.0
(18+2)(18+2) 32000 14 3 1.3665882392377426e-06
(18+2)(18+2) 32000 14 4 3.897794987883785e-07
(18+2)(18+2) 32000 14 5 9.527243383100625e-08
(18+2)(18+2) 32000 14 6 2.0321903271280917e-08
(18+2)(18+2) 32000 14 7 3.4087579425801096e-09
(18+2)(18+2) 32000 14 8 3.4021474526468864e-10
(18+2)(18+2) 32000 14 9 0.0
(18+2)(18+2) 32000 14 10 0.0
(18+2)(18+2) 32000 14 11 0.0
(18+2)(18+2) 32000 14 12 0.0
(18+2)(18+2) 32000 14 13 0.0
(18+2)(18+2) 32000 14 14 0.0
(18+2)(18+2) 32000 15 1 0.0
(18+2)(18+2) 32000 15 2 0.0
(18+2)(18+2) 32000 15 3 3.097073884350543e-06
(18+2)(18+2) 32000 15 4 9.545470882610374e-07
(18+2)(18+2) 32000 15 5 2.620154896382232e-07
(18+2)(18+2) 32000 15 6 6.653288064928375e-08
(18+2)(18+2) 32000 15 7 1.4797180591941128e-08
(18+2)(18+2) 32000 15 8 2.5740722886524736e-09
(18+2)(18+2) 32000 15 9 2.6488733428919886e-10
(18+2)(18+2) 32000 15 10 0.0
(18+2)(18+2) 32000 15 11 0.0
(18+2)(18+2) 32000 15 12 0.0
(18+2)(18+2) 32000 15 13 0.0
(18+2)(18+2) 32000 15 14 0.0
(18+2)(18+2) 32000 15 15 0.0
(18+2)(18+2) 32000 16 1 0.0
(18+2)(18+2) 32000 16 2 0.0
(18+2)(18+2) 32000 16 3 6.42589125821047e-06
(18+2)(18+2) 32000 16 4 2.1026484804398393e-06
(18+2)(18+2) 32000 16 5 6.284189278948915e-07
(18+2)(18+2) 32000 16 6 1.8005072555116186e-07
(18+2)(18+2) 32000 16 7 4.7811824832599825e-08
(18+2)(18+2) 32000 16 8 1.1049160364429156e-08
(18+2)(18+2) 32000 16 9 1.9844034193639004e-09
(18+2)(18+2) 32000 16 10 2.0971713254880342e-10
(18+2)(18+2) 32000 16 11 0.0
(18+2)(18+2) 32000 16 12 0.0
(18+2)(18+2) 32000 16 13 0.0
(18+2)(18+2) 32000 16 14 0.0
(18+2)(18+2) 32000 16 15 0.0
(18+2)(18+2) 32000 16 16 0.0
(18+2)(18+2) 32000 17 1 0.0
(18+2)(18+2) 32000 17 2 0.0
(18+2)(18+2) 32000 17 3 1.2407107084055902e-05
(18+2)(18+2) 32000 17 4 4.261179496589662e-06
(18+2)(18+2) 32000 17 5 1.3595512186048708e-06
(18+2)(18+2) 32000 17 6 4.2579608128257007e-07
(18+2)(18+2) 32000 17 7 1.279063023273963e-07
(18+2)(18+2) 32000 17 8 3.535294945677947e-08
(18+2)(18+2) 32000 17 9 8.444818844211e-09
(18+2)(18+2) 32000 17 10 1.5589038948604639e-09
(18+2)(18+2) 32000 17 11 1.6859269535984822e-10
