config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 1 1 0.0 0 0 0 100000 notadapt
(1+0)(8+2) 32000 2 1 0.0 0 0 0 100000 notadapt
(1+0)(8+2) 32000 3 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 4 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 5 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 6 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 7 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 8 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 9 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 10 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 11 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 12 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 13 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 14 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 15 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 16 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 17 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 18 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 19 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 20 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 21 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 22 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 23 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 24 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 25 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 26 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 27 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 28 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 29 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 30 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 31 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 32 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 33 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 34 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 35 1 1.0 -0.0 0.001 100000 100000 notadapt
